BankAccountValue|StatusID
0209667421|1
0694172257|1
0881265832|1
0060086030|1
0396720795|1
0082292514|1
0616311664|1
0683335048|1
0351451460|1
0215370692|1
0660100879|1
0080003304|1
0398857487|1
0534736391|1
0115792858|1
0498459024|1
0120834681|1
0539892503|1
0987366136|1
0267725825|1
0525620045|1
0361441278|1
0441177707|1
0529752050|1
0377775800|1
0741226771|1
0516914875|1
0512555380|1
0144709308|1
0519467055|1
0618705080|1
0990744555|1
0976920003|1
0227553856|1
0984351497|1
0372873456|1
0373246035|1
0574431239|1
0486060587|1
0261368089|1
0016388692|1
0191084478|1
0271449480|1
0195569031|1
0772632324|1
0329521205|1
0405579780|1
0249530309|1
0680272557|1
0880125755|1
0365968903|1
0479992059|1
0810648901|1
0939338221|1
0535755819|1
0848226143|1
0252994549|1
0351513781|1
0682310230|1
0655494024|1
0565377639|1
0103756284|1
0538625739|1
0831984406|1
0596665613|1
0669356324|1
0103083301|1
0171303630|1
0550384895|1
0742919403|1
0125212988|1
0546403443|1
0053831916|1
0725998046|1
0251337132|1
0334535567|1
0089991797|1
0245608676|1
0757119727|1
0048254595|1
0335646990|1
0267384565|1
0832282823|1
0264583554|1
0153498152|1
0138713020|1
0180095653|1
0037581781|1
0691798037|1
0136125353|1
0119878906|1
0021732254|1
0892121009|1
0830566563|1
0695990450|1
0912632409|1
0652458739|1
0439465075|1
0598903418|1
0103275999|1
0226437903|1
0234276150|1
0699145415|1
0937353155|1
0754912766|1
0819565461|1
0426160143|1
0084650854|1
0688001089|1
0201220252|1
0758234345|1
0007385873|1
0594394054|1
0634055635|1
0319847033|1
0297993074|1
0271473461|1
0274042185|1
0678486254|1
0457952592|1
0489260670|1
0065501520|1
0479505594|1
0414259541|1
0623040496|1
0103480734|1
0654282434|1
0223265353|1
0030007596|1
0338704723|1
0682076829|1
0650526723|1
0646705258|1
0653843727|1
0821816692|1
0101370840|1
0568239150|1
0894929669|1
0509670789|1
0333932691|1
0712552878|1
0095444799|1
0349580693|1
0490577785|1
0377891008|1
0112493033|1
0427338200|1
0258065374|1
0510719529|1
0397997375|1
0641158948|1
0378416554|1
0760978822|1
0140950826|1
0614015329|1
0160936383|1
0754770557|1
0284885873|1
0314312658|1
0651432031|1
0165283026|1
0202894789|1
0054643258|1
0349296365|1
0519143424|1
0107707622|1
0360680615|1
0940550327|1
0812238944|1
0218476193|1
0729753924|1
0376543792|1
0764371397|1
0344553562|1
0745399715|1
0393815871|1
0715920827|1
0988927810|1
0036368532|1
0510547463|1
0676142534|1
0396217060|1
0712545825|1
0632010221|1
0697545775|1
0303660274|1
0889547902|1
0505754432|1
0039828398|1
0660880308|1
0346600284|1
0283353276|1
0580617010|1
0858238758|1
0168649665|1
0509658088|1
0040801541|1
0000284327|1
0971434361|1
0270183386|1
0751812418|1
0486787874|1
0445826430|1
0292243336|1
0668243452|1
0264615155|1
0614045157|1
0416425259|1
0395551111|1
0220199457|1
0445015557|1
0765842748|1
0248517341|1
0803765196|1
0975289498|1
0769065966|1
0490348965|1
0422633037|1
0651750591|1
0215483149|1
0218159721|1
0854926184|1
0900721929|1
0151358635|1
0871875909|1
0446400647|1
0795926783|1
0906132639|1
0175903897|1
0235741626|1
0353014330|1
0715636499|1
0017493448|1
0766185147|1
0758735045|1
0189354660|1
0950390630|1
0420302488|1
0963766770|1
0432930620|1
0689615117|1
0473122642|1
0110203320|1
0819628941|1
0215864751|1
0580757537|1
0034835935|1
0776851815|1
0882949261|1
0399583699|1
0019309123|1
0618168504|1
0348533737|1
0755951212|1
0052023664|1
0896886235|1
0586065945|1
0294467795|1
0420367427|1
0221842804|1
0468688373|1
0707912519|1
0240521362|1
0159809484|1
0867185127|1
0729379058|1
0748349299|1
0482332194|1
0045030150|1
0785934837|1
0818675336|1
0070046476|1
0458866267|1
0218819971|1
0525868032|1
0745037080|1
0744722863|1
0081092987|1
0935493885|1
0291118372|1
0411564712|1
0019074968|1
0023183378|1
0776320198|1
0216432503|1
0734845827|1
0367102762|1
0261542236|1
0714161482|1
0861848811|1
0603288716|1
0655922835|1
0999935062|1
0741923966|1
0964242247|1
0981702599|1
0232601279|1
0950393836|1
0952443814|1
0486485693|1
0832408238|1
0552503741|1
0731821665|1
0097014424|1
0580908364|1
0949262648|1
0159302237|1
0129713766|1
0230083179|1
0306986585|1
